date,k,seed,cout,silhouette,nb_series,nb_features,min_cluster_size,max_cluster_size
2026-07-21 15:59,3,42,1095157.47,0.2968,55803,22,1267,46918
2026-07-21 15:59,3,123,1107317.85,0.1483,55803,22,453,50729
2026-07-21 16:00,3,456,1114344.5,0.5304,55803,22,1,54535
2026-07-21 16:00,5,42,987538.8,0.3162,55803,22,25,45285
2026-07-21 16:01,5,123,987533.86,0.1977,55803,22,453,36291
2026-07-21 16:01,5,456,982159.41,0.1407,55803,22,453,42595
2026-07-21 16:02,8,42,845581.76,0.2845,55803,22,311,32993
2026-07-21 16:02,8,123,856020.78,0.2228,55803,22,311,18797
2026-07-21 16:03,8,456,815824.9,0.2267,55803,22,1,35912
2026-07-21 16:04,10,42,719804.12,0.296,55803,22,311,26224
2026-07-21 16:04,10,123,729271.89,0.2826,55803,22,25,26013
2026-07-21 16:05,10,456,758895.76,0.3177,55803,22,453,31581
2026-07-21 16:05,12,42,627105.56,0.3053,55803,22,25,22885
2026-07-21 16:06,12,123,597053.74,0.3183,55803,22,1,27917
2026-07-21 16:06,12,456,622826.0,0.3167,55803,22,21,33427
2026-07-21 16:07,15,42,503231.3,0.3788,55803,22,1,18900
2026-07-21 16:08,15,123,529330.79,0.3366,55803,22,21,20880
2026-07-21 16:08,15,456,553280.63,0.3508,55803,22,21,25264
